Date,Description,Amount(GBP)
16/04/2019,HEATING CONTROLS ONLIN               GBR,41.7
16/04/2019,LIDL GB                              GBR,20.96
18/04/2019,EVERYDAY HERO                        GBR,21.13
21/04/2019,CEX LTD                              GBR,25.0
25/04/2019,LIDL GB                              GBR,28.06
28/04/2019,LIDL GB                              GBR,41.09
02/04/2019,LIDL GB                              GBR,15.86
04/04/2019,SCOTMID CO-OP                        GBR,3.2
06/04/2019,giffgaff                             GBR,5.0
08/04/2019,PAYMENT RECEIVED - THANK YOU,-106.2
10/04/2019,PAYPAL                               GBR,0.99
10/04/2019,HEATING CONTROLS ONLIN               GBR,22.64
13/02/2019,MARKS&SPENCER PLC                    GBR,11.55
16/02/2019,LIDL GB                              GBR,7.88
28/02/2019,GREGGS PLC                           GBR,3.95
02/03/2019,SUBWAY                               GBR,5.4
02/03/2019,OLYMPIA PETS LTD                     GBR,6.92
02/03/2019,LIDL GB                              GBR,16.69
04/03/2019,TOOLSTATION LTD                      GBR,5.45
04/03/2019,WESTPOINT DELI                       GBR,4.0
04/03/2019,GIFFGAFF                             GBR,5.0
06/03/2019,SAINSBURYS                           GBR,4.95
07/03/2019,MCDONALDS                            GBR,6.04
08/03/2019,TESCO STORES                         GBR,22.37
11/03/2019,PAYMENT RECEIVED - THANK YOU,-383.88
12/03/2019,SAINSBURYS                           GBR,6.0
11/01/2019,Coverforyou.com                      GIB,28.25
17/01/2019,M O T                                GBR,64.2
26/01/2019,GIFFGAFF                             GBR,5.0
27/01/2019,PAYPAL                               GBR,27.92
28/01/2019,PAYPAL                               GBR,1.16
29/01/2019,Amazon.co.uk                         LUX,4.89
01/02/2019,ELVIS BAR                            GBR,34.28
07/02/2019,PAYMENT RECEIVED - THANK YOU,-1.5
10/02/2019,SAINSBURYS                           GBR,29.12
10/02/2019,Amazon.co.uk                         LUX,49.99
10/02/2019,ICELAND                              GBR,8.4
10/02/2019,LIDL GB                              GBR,38.42
08/01/2019,SAINSBURYS                           GBR,1.5
